排名,歌曲名,歌手,专辑,歌曲ID
1,打火机,Penny,打火机,001LGsOJ2hQjG0
2,恋人,李荣浩,黑马,001auUcH4WQs2V
3,到时说爱我,Shila Amzah,心旅,003si8pP01GGik
4,爱错,王力宏,心中的日月,004fneUm24gD2c
5,离开我的依赖,王艳薇,离开我的依赖,001GOlCd2HImcY
6,其实,薛之谦,意外,003ouHMP12glVD
7,一点点 (为什么晚上总是有星星),董唧唧 & 芊芊龍,一点点 (为什么晚上总是有星星),003FSVwZ3QVrwM
8,唯一,G.E.M. 邓紫棋,T.I.M.E.,001NgljR0RUhy1
9,Star Crossing Night (feat. GALI),徐明浩 & GALI,Star Crossing Night,004Q91U80aOEQW
10,我怀念的,孙燕姿,逆光,000BO3xy4fd8BJ
11,特别的人,方大同,危险世界,003cSLOO35W3yP
12,Always Online,林俊杰,JJ陆,001N8e5Q4Gjxda
13,孤身,徐秉龙,孤身,002jebZ81XtRhS
14,爱情讯息,郭静,下一个天亮,000DOpDe2GfLaq
15,阳光下的星星,金海心,独立日,003qg14v0f1gf2
16,演员,薛之谦,绅士,001Qu4I30eVFYb
17,江南,林俊杰,第二天堂,004TXEXY2G2c7C
18,明日坐标,林俊杰 & 王者荣耀,明日坐标,004BJRhU4g74fg
19,红色高跟鞋,蔡健雅,若你碰到他,003IGhQO0JdnuC
20,第57次取消发送,菲菲公主（陆绮菲）,第57次取消发送,001P6YOB0eXLlj
21,瞬,郑润泽,瞬,0040SY053uSb7r
22,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl (Explicit),000U8YCy22e6ns
23,春娇与志明,街道办GDC & 欧阳耀莹,春娇与志明,004Uln1G2Aunqw
24,多远都要在一起,G.E.M. 邓紫棋,新的心跳,003S1hgM2asCye
25,坏女孩,徐良 & 小凌,不良少年,0001oIjs0YFIf7
26,晴天,周杰伦,叶惠美,0039MnYb0qxYhV
27,爱我还是他,陶喆,太平盛世,0044lCLh0QK3am
28,坠落,蔡健雅,天使与魔鬼的对话,000Me4AK0rsrHo
29,开始懂了,孙燕姿,我要的幸福,003PSWcB4EDl6P
30,偏爱,张芸京,破天荒,003Ho2cO2RXwUc
31,IF YOU,BIGBANG,MADE SERIES 《D》,000GDzSZ0yAEB9
32,麦恩莉,方大同,回到未来,001lmD2a2YZYN3
33,我们的歌,王力宏,改变自己,000NqZLy2lfXjT
34,如果爱忘了,汪苏泷 & 单依纯,声生不息·家年华 第12期,004XJHyS3QhnMs
35,舍得,王唯旖,舍得,0037sebg23jTFg
36,寂寞寂寞不好,曹格,寂寞寂寞不好,0004jeEe4XTtjU
37,泡沫,G.E.M. 邓紫棋,Xposed,001X0PDf0W4lBq
38,美人鱼,林俊杰,第二天堂,002ASCKm3ROw7t
39,孤独患者,陈奕迅,?,00184ejM4XouuN
40,我们俩,郭顶,微微,003MASv802hpJ7
41,花海,周杰伦,魔杰座,003cI52o4daJJL
42,下一个天亮,郭静,下一个天亮,000hwIui3xVub9
43,无名的人,毛不易,无名的人,002QhULf16tWw1
