排名,歌曲名,歌手,专辑,歌曲ID
1,亲爱的你啊,任素汐,亲爱的你啊,003tVOQf29pSu7
2,归信如帆,王一珩OneSD,万里长歌,003uZHXT1jl9Ww
3,一点点 (为什么晚上总是有星星),董唧唧 & 芊芊龍,一点点 (为什么晚上总是有星星),003FSVwZ3QVrwM
4,动物世界,薛之谦,渡 The Crossing,003RCA7t0y6du5
5,到时说爱我,Shila Amzah,心旅,003si8pP01GGik
6,胡广生,任素汐,胡广生,0031HkWT37OzaR
7,枕着光的她,任素汐,枕着光的她,000EAxZ71qBtj1
8,นับหนึ่ง (From now on),Billkin,นับหนึ่ง (From now on),000VZ4Zr1PbuwZ
9,左转灯 (1000 Times +1),派伟俊 & mac ova seas,左转灯 (1000 Times +1),001kbGUi3hwzq5
10,王招君 (你看你拉住我的模样),任素汐,TA·说,001D51640M6ZeR
11,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯,002RqUNl1i573g
12,我要你,任素汐,我要你,002XPp4023M50E
13,相信爱还是相信你,早晚晚,相信爱还是相信你,002ZESLL0U7Qry
14,恋人,李荣浩,黑马,001auUcH4WQs2V
15,在对称轴流浪,DARK OPS（Lil Bai） & K95S腾飛联盟,在对称轴流浪,003qhLWp1hpHmH
16,OVERDRIVE,TWS,TWS 4th Mini Album 'play hard',001H0tks1Eu7PP
17,坏女孩,徐良 & 小凌,不良少年,0001oIjs0YFIf7
18,没出息 (本来应该从从容容游刃有余),余火火 & 房顶的猫 & 音量不足,没出息 (本来应该从从容容游刃有余),0042y0Xx33KqpQ
19,以后别做朋友,Eric周兴哲,学着爱,002mwwCs3vpyaH
20,我想要占据你,告五人,带你飞,004Mb5FX0R0qJ3
21,新摆烂指南 (Just Slack Off),鸭腩儿,灵感环岛 (Explicit),001ji7p90vDl9v
22,亲爱的你啊,任素汐 & 任宥纶,亲爱的你啊,003kINoq3bLZFF
23,茉莉雨,林俊杰,新地球,003x5xTj20cLPX
24,若你的世界没有暖阳,侯明昊,入青云 影视原声带,000al6iV1q9M6k
25,爱入青云,黄霄雲,入青云 影视原声带,002dShQZ1PUtBJ
26,没出息,黑豆ado & 余火火 & 房顶的猫 & 音量不足,没出息 (女版),000pXnYw16STbx
27,梦幻诛仙,张碧晨,梦幻诛仙,000vn5Ei3un0eW
28,山高路远,全幺九,山高路远,000Y8D1H12a4hw
29,莫怕莫怕,任素汐,祝你幸福！ 电影原声带,0048R0Fi3umF1w
30,Ice On My Baby,Yung Bleu,Ice On My Baby (Explicit),000teS4M030X4e
31,下完这场雨,后弦,下完这场雨,002FsceO4WxKyF
32,须尽欢,郑浩,须尽欢,0016dO233HjjnJ
33,瞬,郑润泽,瞬,0040SY053uSb7r
34,岁岁,任素汐,故乡，别来无恙 电视剧原声带,001CnSwn2xF1ee
35,大梦,瓦依那 & 任素汐,乐队的夏天3 第7期,002DMjjy3Sylc8
36,不将就,李荣浩,有理想,000edAg12jLBrN
37,心安理得,王天戈,心安理得,0013QzWN15jro3
38,没出息,知鷗周,没出息（新编版）,001SsSPg3bwFVr
39,虚拟,陈粒,小梦大半,002CqtaC3jYZpu
40,胡广生 (我欠你啥子嘛),任素汐,TA·说,003gdHTl2kLr4d
41,苍穹唤,林鹿儿,苍穹唤,000oD2ml2U8pEg
42,后来的我们,五月天,自传,0022QuVR1LcRHN
43,50 Feet,SoMo,50 Feet,004SMctC1ld6ZS
44,须尽欢,郑浩,须尽欢 (2025版),0040ZOaZ2oSEDI
45,麦恩莉,方大同,回到未来,001lmD2a2YZYN3
46,关键词,林俊杰,和自己对话 From M.E. To Myself,001OeHvA0NASwT
47,有多少爱可以重来,迪克牛仔,别港,000glJHw42Txn9
48,戏文说,张含韵 & 刘宇,戏文说,000YXTaY28J0kJ
49,阳光下的星星,金海心,独立日,003qg14v0f1gf2
50,岸边客,夏子航（2603）,岸边客,003BzRhs18BNGX
51,香水百合,张韶涵,潘朵拉,004C8KeH1lNpCf
52,真夜中のドア/Stay With Me,松原みき,Light Mellow 松原みき,0046zv6d1RsuET
53,认真的雪,薛之谦,薛之谦,001hUNRP0P8g7x
54,听说你,于冬然,听说你,001SvdaT4VkV8G
55,Starlight,JENNIE,Ruby,003693lD1Y8QQd
56,假装没什么,王靖雯,入青云 影视原声带,002BCrau1zM2EX
57,첫 눈,EXO,Winter Special Album '12月的奇迹 (Miracles In December)',002qdLxg2sMxjJ
58,有我呢,郭一凡,重返地球,0002N65N3iBcJK
59,Champion My Way,王俊凯,Champion My Way,001Icc2G0KOHTL
60,迷失幻境,IN-K & 王忻辰,回忆观影券,002Vo1xP3z9BVS
61,无赖,林忆莲,歌手 第2期,00104G0K3D2SDb
62,迷人的危险,Dance Flow,df 1,000Nu8V6398UVB
63,谁,谢雨欣,将爱情进行到底 小柯,002Fu6Zx2XRcxn
64,你怎会有伤我的资格,赵薇薇,你怎会有伤我的资格,001UtVt54UN5x2
65,Can't Stop,TOMORROW X TOGETHER,Starkissed,004C6f1H4cenEz
66,唯一,G.E.M. 邓紫棋,T.I.M.E.,001NgljR0RUhy1
67,无人知晓的我,A-Lin,A-LIN同名专辑,00291L2n1KGlnI
68,time machine (feat. aren park),mj apanay & aren park,seen 11:23 pm,00100C6W12WCLL
69,空心病,Cc陈辞,空心病,001ZiQAO0WtZeg
70,亲爱的小孩,任素汐,亲爱的小孩 电视剧原声带,002TRIsO3N4CaF
71,探故知,浅影阿 & 汐音社,探故知,003TBew01fLz0i
