排名,歌曲名,歌手,专辑,歌曲ID
1,明日坐标,林俊杰 & 王者荣耀,明日坐标,004BJRhU4g74fg
2,趁黎明来临前说爱吧,梓渝,趁黎明来临前说爱吧,002J1l371TcISS
3,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl (Explicit),000U8YCy22e6ns
4,WE GO UP,BABYMONSTER,WE GO UP,001xkQBb03sHYN
5,戏文说,张含韵 & 刘宇,戏文说,000YXTaY28J0kJ
6,月光光,任素汐,2025玉林路民谣音乐季,001McYuQ2JIgtJ
7,伤心的人都在跳舞,刘宇宁,伤心的人都在跳舞,002PWpqA010xhc
8,醒着醉 (抬头看见那微笑的雪花),夏心心,醒着醉 (抬头看见那微笑的雪花),004fFAI73bJZHY
9,OVERDRIVE,TWS,TWS 4th Mini Album 'play hard',001H0tks1Eu7PP
10,Me and You (Remastered),Eric周兴哲,许我耀眼 影视原声带,001JaCjf2klpxr
11,Opalite,Taylor Swift,The Life of a Showgirl (Explicit),001lrZVq2j0WBm
12,乌鸦怎与你相配,烟嗓船长,乌鸦怎与你相配,002brY540kmyvT
13,像烟火爱过,单依纯,许我耀眼 影视原声带,003txwfZ4C5OYr
14,江湖之间·2025,曹雨航 & 朝歌夜弦,江湖之间·2025,0006Jdt32nK6rV
15,Take My Time,Eric周兴哲,许我耀眼 影视原声带,001vCgyF0ZGeYc
16,在对称轴流浪,DARK OPS（Lil Bai） & K95S腾飛联盟,在对称轴流浪,003qhLWp1hpHmH
17,Blue Valentine,NMIXX,Blue Valentine,002vMdtq102Ur1
18,恋人未满,TF_ING穆祉丞,恋人未满,003L72ja3CCdyw
19,放生,赵乃吉,放生,004Ows2T3CjzIa
20,BURNING UP,MEOVV,BURNING UP,003aiBAC1JQuZk
21,恒星,梓渝,恒星,001mf8ls079iXw
22,耍赖,陈楚生,耍赖,000isr1E3zI025
23,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl (Explicit),000UrL7I1nDJLi
24,左转灯 (1000 Times +1),派伟俊 & mac ova seas,左转灯 (1000 Times +1),001kbGUi3hwzq5
25,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯,002RqUNl1i573g
26,为你揭晓,张艺兴 & 林俊杰,为你揭晓,003XrK5P2xuSWF
27,重光,周深,重光,000tzwmo0HDqeS
28,The Life of a Showgirl,Taylor Swift & Sabrina Carpenter,The Life of a Showgirl (Explicit),0049hyF92lkZ6p
29,我是不是你最疼爱的人,大橘子,我是不是你最疼爱的人,002eCFFP0yjvjB
30,爱要怎么说出口,赵乃吉,爱要怎么说出口,000HTg0W2JHrZT
31,你一走心就空,方辰,你一走心就空,002TjGCP15JIRx
32,秋风吹离别,烟嗓船长,秋风吹离别,002gVXoh4AZRTF
33,CANCELLED!,Taylor Swift,The Life of a Showgirl (Explicit),004WTWaO2uxAg1
34,千万次想象,张杰,千万次想象 (重逢版),0035K0Pc0mBo8D
35,太多,烟嗓船长,太多,003LYL6p36q4Gi
36,没出息,王搏,没出息（原作）,000aOsYW4CssTY
37,Love on the canvas,SOHEE,"환승연애4 OST Part 2 (EXchange4, Pt. 2 (Original Soundtrack))",001kQ4fj1KT92Y
38,Father Figure,Taylor Swift,The Life of a Showgirl (Explicit),003OUHVR2nz22i
39,SUPA DUPA LUV,BABYMONSTER,WE GO UP,0020D2NE2pMiNC
40,怎么你都不在,ACHI,怎么你都不在,003XroVL1hO2uI
41,你那么明媚,烟嗓船长,你那么明媚,001bFZSa0CeYuE
42,话你知所有,鹭卓,话你知所有,000NBBbt07pwyP
43,DAMIDAMI,Sihan & 三Z-STUDIO & HOYO-MiX,绝区零-DAMIDAMI,004Nn9kj2qndCo
44,你风华正茂 (我穷困潦倒),烟嗓船长,你风华正茂 (我穷困潦倒),003tYjjF0zPoCe
45,爱的没有错,洛松维,爱的没有错,002yWHIG03aHQB
46,偏爱 (My devotion),黄星 & 邱鼎杰,Beloved (挚爱),0040604t3PQ0Yt
47,岁岁年年,肖战,岁岁年年,0005OkBt3HlWoQ
48,Wood,Taylor Swift,The Life of a Showgirl (Explicit),003IfGp81b0tFh
49,月亮与六便士,窝窝,月亮与六便士,004VXGKg1VLFbX
50,SPINNIN′ ON IT,NMIXX,Blue Valentine,0026A1cV3cVeRZ
51,PSYCHO,BABYMONSTER,WE GO UP,000t7ZKA4IWRFO
52,震耳欲聋,檀健次,震耳欲聋,000r2FuR14Q1LQ
53,单枪匹马,Kbz小猪,单枪匹马,003OxGwT45RuE6
54,别回头,PAMajor,别回头,0017MEAv0s9wrB
55,我的对,周深,刺杀小说家2 电影原声带,001C8UAi1Tc257
56,我是人间惆怅客,空想之喵,我是人间惆怅客,002ZHnoa3Nku7T
57,我与孤独把酒,阿美呀,我与孤独把酒,000TzbPm0mTv91
58,拆穿（我不在你心置顶）,艾小麦,悄悄做个梦给你,004GtY161k4rLe
59,WILD,BABYMONSTER,WE GO UP,000ItXsk1CSPjE
60,烂人,陆虎,烂人,004Mm4IE0yTf61
61,很爱很爱你（所以愿意不牵绊你）,大头针,很爱很爱你（所以愿意不牵绊你）,003BLnw00oJGYM
62,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,003CIRfJ3Tqob4
63,空空,陈粒,贴近大地,0010VFFJ40Pnkw
64,如果回忆容易 (我会想你念你),澜宵羽,如果回忆容易 (我会想你念你),001UbRQY1BwZAC
65,情蛊,白翎 & 朱强,情蛊,003dMqy91bQZ67
