排名,歌曲名,歌手,专辑
1,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
2,爱情讯息,黄星 / 邱鼎杰,爱情讯息
3,玫瑰窃贼,柳爽,Rose
4,吻你吻上太空,曾舜晞,吻你吻上太空
5,杏冷淡freestyle,柴行敏,杏冷淡freestyle
6,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl
7,Flower Girl,余宇涵,Flower Girl
8,英雄,艾志恒Asen,在雨后醒来
9,懂不？,艾志恒Asen,在雨后醒来
10,空空,陈粒,贴近大地
11,唤水剑,SASIOVERLXRD,超级孙先生
12,沦陷2025,李嘉格,沦陷2025
13,天生痛苦,SASIOVERLXRD,超级孙先生
14,Opalite,Taylor Swift,The Life of a Showgirl
15,邓布利多,万乐体 / 鱼骨妹,邓布利多
16,原谅我,姜云升 / CHOCKEY有三,原谅我
17,在雨后醒来,艾志恒Asen,在雨后醒来
18,绝对占有 相对自由,陈粒,十年自选
19,霸王别姬,薛之谦 / 张靓颖,霸王别姬
20,Sacrifice,英雄联盟 / G.E.M.邓紫棋,Sacrifice
21,Hotel Lobby,马思唯 / 艾志恒Asen,乐透人生GT：即刻入戏
22,Dear Mama,艾志恒Asen,在雨后醒来
23,愛属性,ピノキオピー,愛属性
24,三万天,王子健 / 兰音Reine,三万天
25,不得了Freestyle,王齐铭WatchMe,不得了Freestyle
26,The Life of a Showgirl,Taylor Swift / Sabrina Carpenter,The Life of a Showgirl
27,JANE DOE,米津玄師 / 宇多田ヒカル,JANE DOE
28,恋人未满,穆祉丞,恋人未满
29,睡不着,艾志恒Asen,在雨后醒来
30,你给的恨,艾志恒Asen / Maikon Flocka Flame,在雨后醒来
31,情蛊,白翎 / 朱强,情蛊
32,交通工具,刘思鉴 / 河南说唱之神,交通工具
33,相机,加木,嵌入生长
34,我是人间惆怅客,空想之喵,我是人间惆怅客
35,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl
36,走马,陈粒,十年自选
37,没出息（加长版）,王搏,没出息（本来应该从从容容游刃有余）
38,Escape,米卡,Escape
39,折断玫瑰,邱e,折断玫瑰
40,忘忧谣(东汉童谣),希尔薇Sylvie / alpaca咕噜,忘忧谣
41,真相是真,黄星 / 邱鼎杰,真相是真
42,像海一样平静,鱼尾Q7,像海一样平静
43,CANCELLED!,Taylor Swift,The Life of a Showgirl
44,侧脸,加木,嵌入生长
45,Father Figure,Taylor Swift,The Life of a Showgirl
46,One night in 解放碑,王齐铭WatchMe,One night in 解放碑
47,不后悔,宝石Gem / 张碧晨,通俗说唱
48,Changes,Charlie Puth,Changes
49,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯
50,逆写时间,BlackwingFK,逆写时间
51,凭什么爱我,TINY7,凭什么爱我
52,登录,马思唯,乐透人生GT：即刻入戏
53,Broken World,孙盛希,Broken World
54,Constriction（压迫感）,QDFLY,Constriction（压迫感）
55,奇妙能力歌,陈粒,十年自选
56,挂机（厌倦了吵架厌倦了迷人的谎话）,Lefty,挂机（厌倦了吵架厌倦了迷人的谎话）
57,五百,宝石Gem,通俗说唱
58,钻石车子票子,马思唯,乐透人生GT：即刻入戏
59,提瓦特民谣,宴宁 / XY大甘蔗 / 柳知萧 / 闫夜桥 / 陶典 / 孙晔,提瓦特民谣
60,Open Eyes(PHONK),GTR7,Open Eyes
61,马师,马思唯,乐透人生GT：即刻入戏
62,นับหนึ่ง (From now on),Billkin,นับหนึ่ง (From now on)
63,须尽欢 (思乡版),郑浩Z-Hao,须尽欢 (2025版)
64,Person (Faster+Reverb),白岑,Person (Reverb/Faster+Reverb/Slowed+Reverb)
65,没出息,邓晃晃 / 知鷗周,没出息
66,到时说爱我,step.jad依加,到时说爱我
67,清透,陈粒,贴近大地
68,T0,马思唯,乐透人生GT：即刻入戏
69,妙龄童,陈粒,十年自选
70,打火机（小八版）,何水水,打火机（小八版）
71,1991,米津玄師,1991
72,我在,四夕允千乐队 / 沈以诚,我在
