排名,歌曲名,歌手,专辑
1,恋人,李荣浩,黑马
2,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
3,罗生门（Follow）,梨冻紧 / Wiz_H张子豪,罗生门（Follow）
4,如果呢,郑润泽,如果呢
5,打火机,Penny,打火机
6,嗜好,颜人中,嗜好
7,Star Crossing Night (feat. GALI),徐明浩 / GALI,Star Crossing Night (feat. GALI)
8,于是,郑润泽,于是
9,到时说爱我,茜拉,心旅
10,爱错,王力宏,恋爱占星音乐全精选
11,离开我的依赖,王艳薇,离开我的依赖
12,两 难,加木,两 难
13,唯一,G.E.M.邓紫棋,T.I.M.E.
14,熄灭,TC,熄灭
15,把回忆拼好给你,王贰浪,把回忆拼好给你
16,爱情讯息,郭静,下一个天亮
17,爱情讯息,黄星 / 邱鼎杰,爱情讯息
18,浆果,TINY7,浆果
19,我怀念的,孙燕姿,逆光
20,玫瑰窃贼,柳爽,Rose
21,零距离的思念,TINY7,Chose one me
22,如果爱忘了 (live),汪苏泷 / 单依纯,声生不息·家年华 第12期
23,寂寞寂寞不好,曹格,寂寞寂寞不好
24,还是会想你,林达浪 / h3R3,还是会想你
25,特别的人,方大同,危险世界
26,MONTAGEM XONADA,MXZI / DJ Samir / DJ Javi26,MONTAGEM XONADA
27,晚安,颜人中,晚安
28,我只能离开,颜人中,初恋那件小事 电视剧原声带
29,你,郑润泽,你
30,阳光下的星星,金海心,独立日
31,一点点（为什么晚上总是有星星）,芊芊龍 / 董唧唧,一点点（为什么晚上总是有星星）
32,小胡同,郑润泽,小胡同
33,愿与愁,林俊杰,愿与愁
34,有些,颜人中,失眠症候群
35,其实,薛之谦,意外
36,Always Online,林俊杰,JJ陆
37,红,罗言,When the world is came，take it！
38,我想念,汪苏泷,我想念
39,坠落,蔡健雅,天使与魔鬼的对话
40,舍得,王唯旖,哈NI，非WO陌属
41,夏夜最后的烟火,颜人中,夏夜最后的烟火
42,出现又离开 (Live),梁博,我是唱作人 第2期
43,想你的夜,关喆,永远的永远
44,予你,队长,予你
45,指纹,杜宣达,指纹
46,忘不掉的你,h3R3,忘不掉的你
47,红色高跟鞋,蔡健雅,若你碰到他
