排名,歌名,歌手,专辑
1,明日坐标,林俊杰 / 王者荣耀,明日坐标
2,趁黎明来临前说爱吧,梓渝,趁黎明来临前说爱吧
3,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl (Explicit)
4,WHAT IF,卓沅,WHAT IF
5,Silhouette,李昊,Silhouette
6,WE GO UP,BABYMONSTER,WE GO UP
7,伤心的人都在跳舞,刘宇宁,伤心的人都在跳舞
8,乌鸦怎与你相配,烟嗓船长,乌鸦怎与你相配
9,Me and You (Remastered),Eric周兴哲,许我耀眼 影视原声带
10,戏文说,张含韵 / 刘宇,戏文说
11,Opalite,Taylor Swift,The Life of a Showgirl (Explicit)
12,醒着醉 (抬头看见那微笑的雪花),夏心心,醒着醉 (抬头看见那微笑的雪花)
13,月光光,任素汐,2025玉林路民谣音乐季
14,放生,赵乃吉,放生
15,像烟火爱过,单依纯,许我耀眼 影视原声带
16,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
17,在对称轴流浪,DARK OPS（Lil Bai） / K95S腾飛联盟,在对称轴流浪
18,江湖之间·2025,曹雨航 / 朝歌夜弦,江湖之间·2025
19,Take My Time,Eric周兴哲,许我耀眼 影视原声带
20,Blue Valentine,NMIXX,Blue Valentine
21,朋友们 你的人生没有失败,吴瑞斯 / 卫南星,朋友们 你的人生没有失败
22,OVERDRIVE,TWS,TWS 4th Mini Album 'play hard'
23,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯
24,太多,烟嗓船长,太多
25,向山野,谭维维,向山野
26,爱要怎么说出口,赵乃吉,爱要怎么说出口
27,恋人未满,TF_ING穆祉丞,恋人未满
28,BURNING UP,MEOVV,BURNING UP
29,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl (Explicit)
30,我是人间惆怅客,空想之喵,我是人间惆怅客
31,为你揭晓,张艺兴 / 林俊杰,为你揭晓
32,拾忆 (怎么会忘了情),叁木simon,拾忆
33,我是不是你最疼爱的人,大橘子,我是不是你最疼爱的人
34,我与孤独把酒,阿美呀,我与孤独把酒
35,可乐 (花白头发谢谢爱的人),薛朋朋,可乐 (花白头发谢谢爱的人)
36,恒星,梓渝,恒星
37,你一走心就空,方辰,你一走心就空
38,怎么你都不在,ACHI,怎么你都不在
39,DAMIDAMI,Sihan / 三Z-STUDIO / HOYO-MiX,绝区零-DAMIDAMI
40,没出息,王搏,没出息（原作）
41,耍赖,陈楚生,耍赖
42,The Life of a Showgirl,Taylor Swift / Sabrina Carpenter,The Life of a Showgirl (Explicit)
43,你那么明媚,烟嗓船长,你那么明媚
44,你风华正茂 (我穷困潦倒),烟嗓船长,你风华正茂 (我穷困潦倒)
45,须尽欢,郑浩,须尽欢 (2025版)
46,Changes,Charlie Puth,Changes
47,别回头,PAMajor,别回头
48,月亮与六便士,窝窝,月亮与六便士
49,千万次想象,张杰,千万次想象 (重逢版)
50,秋风吹离别,烟嗓船长,秋风吹离别
51,爱的没有错,洛松维,爱的没有错
52,Father Figure,Taylor Swift,The Life of a Showgirl (Explicit)
53,离开我的依赖,戴羽彤,离开我的依赖
54,话你知所有,鹭卓,话你知所有
55,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl
56,重光,周深,重光
57,我妈是世界上最好的妈,生活的鸭力,我妈是世界上最好的妈
58,曾经最美,洋澜一,曾经最美
59,没出息,知鷗周,没出息（新编版）
60,空空,陈粒,贴近大地
61,假如再重来,伊斯玛哈撒嗯.达嗨,许我耀眼 影视原声带
62,CANCELLED!,Taylor Swift,The Life of a Showgirl (Explicit)
63,SUPA DUPA LUV,BABYMONSTER,WE GO UP
64,五百,宝石Gem,通俗说唱
65,SPINNIN′ ON IT,NMIXX,Blue Valentine
66,寂寞沙洲冷（那样浓烈的爱再也无法给）,七元,寂寞沙洲冷（那样浓烈的爱再也无法给）
67,Love on the canvas,SOHEE,"환승연애4 OST Part 2 (EXchange4, Pt. 2 (Original Soundtrack))"
68,如果回忆容易 (我会想你念你),澜宵羽,如果回忆容易 (我会想你念你)
69,FOCUS,Hearts2Hearts,FOCUS - The 1st Mini Album
70,我的对,周深,刺杀小说家2 电影原声带
71,很爱很爱你（所以愿意不牵绊你）,大头针,很爱很爱你（所以愿意不牵绊你）
72,Wood,Taylor Swift,The Life of a Showgirl (Explicit)
73,当爱在靠近,轻烟大叔,当爱在靠近
74,岁岁年年,肖战,岁岁年年
75,烂人,陆虎,烂人
76,河,周深,河
77,谁明浪子心,邓岳章,谁明浪子心
78,PSYCHO,BABYMONSTER,WE GO UP
79,我的大男孩,崔阿扎,我的大男孩
80,很爱很爱你,大头针,很爱很爱你
81,Hollywood Action,BOYNEXTDOOR,The Action
82,震耳欲聋,檀健次,震耳欲聋
83,只要有你,赵乃吉,只要有你
84,坦荡,Kbz小猪,坦荡
85,能不能答应我,崔十八,能不能答应我
86,偏爱 (My devotion),黄星 / 邱鼎杰,Beloved (挚爱)
87,WILD,BABYMONSTER,WE GO UP
88,MEEEEEE (NAYEON),TWICE / 娜琏,TEN: The Story Goes On
89,提到了你 (with 刘宇宁),张艺兴 / 刘宇宁,提到了你 (with 刘宇宁)
90,情罪,韩小欠,情罪
91,爱入青云,黄霄雲,入青云 影视原声带
92,Eldest Daughter,Taylor Swift,The Life of a Showgirl (Explicit)
93,Wi$h Li$t,Taylor Swift,The Life of a Showgirl (Explicit)
94,Honey,Taylor Swift,The Life of a Showgirl (Explicit)
95,宿敌 (当恩怨各一半 我怎么圈揽),陆卡斯,宿敌 (当恩怨各一半 我怎么圈揽)
96,Ruin The Friendship,Taylor Swift,The Life of a Showgirl (Explicit)
97,让泪化作相思雨,洛先生,让泪化作相思雨
98,越界,杨光,一路阳光一路爱
99,凭什么你回头我就要在身后,你家七哥ya,凭什么你回头我就要在身后
100,拆穿（我不在你心置顶）,艾小麦,悄悄做个梦给你
