排名,歌名,歌手,专辑
1,恋人,李荣浩,黑马
2,到时说爱我,Shila Amzah,心旅
3,爱错,王力宏,心中的日月
4,打火机,Penny,打火机
5,离开我的依赖,王艳薇,离开我的依赖
6,一点点 (为什么晚上总是有星星),董唧唧 / 芊芊龍,一点点 (为什么晚上总是有星星)
7,唯一,G.E.M. 邓紫棋,T.I.M.E.
8,其实,薛之谦,意外
9,Star Crossing Night (feat. GALI),徐明浩 / GALI,Star Crossing Night
10,孤身,徐秉龙,孤身
11,阳光下的星星,金海心,独立日
12,我怀念的,孙燕姿,逆光
13,特别的人,方大同,危险世界
14,Always Online,林俊杰,JJ陆
15,亲爱的你啊,任素汐,亲爱的你啊
16,明日坐标,林俊杰 / 王者荣耀,明日坐标
17,爱情讯息,郭静,下一个天亮
18,江南,林俊杰,第二天堂
19,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl (Explicit)
20,演员,薛之谦,绅士
21,红色高跟鞋,蔡健雅,若你碰到他
22,春娇与志明,街道办GDC / 欧阳耀莹,春娇与志明
23,多远都要在一起,G.E.M. 邓紫棋,新的心跳
24,第57次取消发送,菲菲公主（陆绮菲）,第57次取消发送
25,瞬,郑润泽,瞬
26,开始懂了,孙燕姿,我要的幸福
27,坏女孩,徐良 / 小凌,不良少年
28,偏爱,张芸京,破天荒
29,动物世界,薛之谦,渡 The Crossing
30,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
31,坠落,蔡健雅,天使与魔鬼的对话
32,无名的人,毛不易,无名的人
33,如愿,王菲,如愿
34,舍得,王唯旖,舍得
35,出现又离开,梁博,我是唱作人 第2期
36,青花,周传雄,蓝色土耳其
37,如果爱忘了,汪苏泷 / 单依纯,声生不息·家年华 第12期
38,我们的歌,王力宏,改变自己
39,爱我还是他,陶喆,太平盛世
40,寂寞寂寞不好,曹格,寂寞寂寞不好
41,晴天,周杰伦,叶惠美
42,山高路远,全幺九,山高路远
43,跳楼机,LBI利比（时柏尘）,跳楼机
44,十年,陈奕迅,黑白灰
45,河,周深,河
46,美人鱼,林俊杰,第二天堂
47,不将就,李荣浩,有理想
48,泡沫,G.E.M. 邓紫棋,Xposed
49,遇见,孙燕姿,The Moment
50,海阔天空,BEYOND,乐与怒
51,IF YOU,BIGBANG,MADE SERIES 《D》
52,句号,G.E.M. 邓紫棋,摩天动物园
53,可不可以,张紫豪,可不可以
54,黄昏,周传雄,Transfer
55,Letting Go,蔡健雅,说到爱
56,下一个天亮,郭静,下一个天亮
57,我们俩,郭顶,微微
58,孤独患者,陈奕迅,?
59,富士山下,陈奕迅,What's Going On...?
60,修炼爱情,林俊杰,因你 而在
61,指纹,杜宣达,指纹
62,后来,刘若英,我等你
63,愿与愁,林俊杰,重拾_快乐
64,夏夜最后的烟火,颜人中,夏夜最后的烟火
65,后来的后来（后来的我们没有结果）,田园,后来的后来 (后来的我们没有结果)
66,倒数,G.E.M. 邓紫棋,另一个童话
67,没出息,知鷗周,没出息（新编版）
68,半点心,草蜢,Grasshopper IV
69,雨爱,杨丞琳,雨爱
70,天地龙鳞,王力宏,天地龙鳞
71,背对背拥抱,林俊杰,100天
72,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯
73,你要的全拿走,胡彦斌,覅忒好
74,最后一页,江语晨,恋习
75,可惜没如果,林俊杰,新地球
76,找自己,陶喆,I'm OK
77,天外来物,薛之谦,天外来物
78,麦恩莉,方大同,回到未来
79,花海,周杰伦,魔杰座
80,Love U2,陈伟霆,WOW
81,光年之外,G.E.M. 邓紫棋,光年之外
82,如果可以,韦礼安,如果可以
83,天下,张杰,听！我们的歌
84,零距离的思念,TINY7,Chose one me
85,我知道,BY2,Twins
86,在你的身边,盛哲,在你的身边
87,野心家,张靓颖,灼灼韶华 影视原声带
88,想你的夜,关喆,永远的永远
89,体面,于文文,体面
90,至少还有你,林忆莲,林忆莲's
91,搁浅,周杰伦,七里香
92,当你,林俊杰,她说 概念自选辑
93,下完这场雨,后弦,下完这场雨
94,我想念,汪苏泷,我想念
95,喜欢你,G.E.M. 邓紫棋,喜欢你
96,云裳羽衣曲,周深,云裳羽衣曲
97,感谢你曾来过,Ayo97 / 周思涵,卧龙与酒
98,须尽欢,郑浩,须尽欢
99,WHAT IF,卓沅,WHAT IF
100,夜曲,周杰伦,十一月的萧邦
