排名,歌名,歌手,专辑
1,Silhouette,李昊,Silhouette
2,河,周深,河
3,WHAT IF,卓沅,WHAT IF
4,FOCUS,Hearts2Hearts,FOCUS - The 1st Mini Album
5,Hollywood Action,BOYNEXTDOOR,The Action
6,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
7,亲爱的你啊,任素汐,亲爱的你啊
8,Live In Paris,BOYNEXTDOOR,The Action
9,动物世界,薛之谦,渡 The Crossing
10,Apple Pie,Hearts2Hearts,FOCUS - The 1st Mini Album
11,Bathroom,BOYNEXTDOOR,The Action
12,있잖아,BOYNEXTDOOR,The Action
13,JAM!,BOYNEXTDOOR,The Action
14,Flutter,Hearts2Hearts,FOCUS - The 1st Mini Album
15,Blue Moon,Hearts2Hearts,FOCUS - The 1st Mini Album
16,枕着光的她,任素汐,枕着光的她
17,胡广生,任素汐,胡广生
18,Pretty Please,Hearts2Hearts,FOCUS - The 1st Mini Album
19,王招君 (你看你拉住我的模样),任素汐,TA·说
20,以后别做朋友,Eric周兴哲,学着爱
21,慢慢喜欢你,莫文蔚,我们在中场相遇
22,化茧,蒋敦豪,万里长歌
23,"Yes, but?",杨丞琳,"Yes, but?"
24,窑火星辰,卓沅,万里长歌
25,茶道江湖,鹭卓,万里长歌
26,生来不让,十个勤天,万里长歌
27,苍穹唤,失爱,放生
28,情人,杜德伟,99情人
29,我要你,任素汐,我要你
30,Can't Stop,TOMORROW X TOGETHER,Starkissed
31,花火心中照,李昊,万里长歌
32,轻丝,赵一博,万里长歌
33,苍穹唤,林鹿儿,苍穹唤
34,亲爱的你啊,任素汐 / 任宥纶,亲爱的你啊
35,向天空之上,李耕耘,万里长歌
36,So Easy (To Fall In Love),Olivia Dean,The Art of Loving
37,没出息,黑豆ado / 余火火 / 房顶的猫 / 音量不足,没出息 (女版)
38,我借,赵小童,万里长歌
39,若你的世界没有暖阳,侯明昊,入青云 影视原声带
40,莫怕莫怕,任素汐,祝你幸福！ 电影原声带
41,期待爱,林俊杰 / 金莎,原来我不帅 电视原声带
42,烟火里的尘埃,黄霄雲,烟火里的尘埃 (原唱: 华晨宇)
43,没出息,知鷗周,没出息（新编版）
44,爱入青云,黄霄雲,入青云 影视原声带
45,岸边客,夏子航（2603）,岸边客
46,浮生戏叹,陈少熙,万里长歌
47,泪海,大头针,泪海（男生版）
48,须尽欢,郑浩,须尽欢 (2025版)
49,岁岁,任素汐,故乡，别来无恙 电视剧原声带
50,Where Do You Go?,TOMORROW X TOGETHER,Starkissed
51,没出息 (本来应该从从容容游刃有余),余火火 / 房顶的猫 / 音量不足,没出息 (本来应该从从容容游刃有余)
52,旧时纸鸢,陈多多,旧时纸鸢
53,亲爱的小孩,任素汐,亲爱的小孩 电视剧原声带
54,胡广生 (我欠你啥子嘛),任素汐,TA·说
55,无赖,林忆莲,歌手 第2期
56,够钟,周柏豪,Follow
57,大梦,瓦依那 / 任素汐,乐队的夏天3 第7期
58,龙井,何浩楠,万里长歌
59,山高路远,全幺九,山高路远
60,你会遇见更好的人,郭聪明,你会遇见更好的人
61,有一点动心,张信哲 / 任素汐,就懂了
62,SSS (Sending Secret Signals),TOMORROW X TOGETHER,Starkissed
63,再见青春,任素汐,再见青春
64,承愿,朱克,仙逆 动画原声带
65,很爱很爱你,大头针,很爱很爱你
66,心碎在秋天,黑豆ado,心碎在秋天
67,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯
68,ME+YOU,TWICE,TEN: The Story Goes On
69,煤气镇 （feat.BigBadBeat）,几米,煤气镇 （feat.BigBadBeat）
70,在对称轴流浪,DARK OPS（Lil Bai） / K95S腾飛联盟,在对称轴流浪
71,昆明,麻园诗人,昆明
72,Get To Work,王霏霏,选择清单
73,大风吹过青瓦房,宫巴,大风吹过青瓦房
74,没出息,王搏,没出息（原作）
75,Beautiful Strangers,TOMORROW X TOGETHER,Starkissed
76,月牙湾,A-Lin,梦想的声音第二季 第4期
77,很爱很爱你（所以愿意不牵绊你）,大头针,很爱很爱你（所以愿意不牵绊你）
78,值得,大头针,值得（男声版）
79,跟着我一辈子,杜德伟,跟着我一辈子
80,无心伤害,杜德伟,发现爱(香港版)
81,We'll Never Change,TOMORROW X TOGETHER,Starkissed
82,好,任素汐,好
83,Hoshi No Uta,TOMORROW X TOGETHER,Starkissed
84,Step by Step,TOMORROW X TOGETHER,Starkissed
85,昆明,骨朵儿,昆明
86,Deja Vu,TOMORROW X TOGETHER,Starkissed
87,Kitto Zutto,TOMORROW X TOGETHER,Starkissed
88,香水百合,张韶涵,潘朵拉
89,Osmanthus Spring (桂花树之春),荒草公园,Osmanthus Spring (桂花树之春) (《欢迎来到我身边》电影插曲乐队版)
90,北方,任素汐,亲爱的小孩 电视剧原声带
91,没出息,舒马赫,没出息 (日语版)
92,不要对他说,张信哲,宽容
93,歌曲：枕着光的她,任素汐,2024年中央广播电视总台春节联欢晚会
94,Rise,TOMORROW X TOGETHER,Starkissed
95,万象大道上船长大药房里有你要的药方,于适 / 火星电台 / 莫西子诗,听，谁在唱歌 第9期
96,收回,白瑶怡,收回
97,月光不归,星辰妙漫,月光不归
98,Opalite,Taylor Swift,The Life of a Showgirl
99,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl
100,假装没什么,卢昱晓,入青云 影视原声带
