排名,歌名,歌手,专辑
1,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
2,玫瑰窃贼,柳爽,Rose
3,爱情讯息,黄星 / 邱鼎杰,爱情讯息
4,吻你吻上太空,曾舜晞,吻你吻上太空
5,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl
6,杏冷淡freestyle,柴行敏,杏冷淡freestyle
7,空空,陈粒,贴近大地
8,邓布利多,万乐体 / 鱼骨妹,邓布利多
9,英雄,艾志恒Asen,在雨后醒来
10,懂不？,艾志恒Asen,在雨后醒来
11,唤水剑,SASIOVERLXRD,超级孙先生
12,Opalite,Taylor Swift,The Life of a Showgirl
13,沦陷2025,李嘉格,沦陷2025
14,天生痛苦,SASIOVERLXRD,超级孙先生
15,一小部分的我,尤长靖,一小部分的我
16,Hotel Lobby,马思唯 / 艾志恒Asen,乐透人生GT：即刻入戏
17,绝对占有 相对自由,陈粒,十年自选
18,在雨后醒来,艾志恒Asen,在雨后醒来
19,The Life of a Showgirl,Taylor Swift / Sabrina Carpenter,The Life of a Showgirl
20,Dear Mama,艾志恒Asen,在雨后醒来
21,JANE DOE,米津玄師 / 宇多田ヒカル,JANE DOE
22,我是人间惆怅客,空想之喵,我是人间惆怅客
23,原谅我,姜云升 / CHOCKEY有三,原谅我
24,Changes,Charlie Puth,Changes
25,不得了Freestyle,王齐铭WatchMe,不得了Freestyle
26,恋人未满,穆祉丞,恋人未满
27,三万天,王子健 / 兰音Reine,三万天
28,Talking Bodies,尹浩宇Patrick,Mint
29,没出息（加长版）,王搏,没出息（本来应该从从容容游刃有余）
30,不后悔,宝石Gem / 张碧晨,通俗说唱
31,Sacrifice,英雄联盟 / G.E.M.邓紫棋,Sacrifice
32,睡不着,艾志恒Asen,在雨后醒来
33,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl
34,你给的恨,艾志恒Asen / Maikon Flocka Flame,在雨后醒来
35,情蛊,白翎 / 朱强,情蛊
36,像海一样平静,鱼尾Q7,像海一样平静
37,Flower Girl,余宇涵,Flower Girl
38,忘忧谣(东汉童谣),希尔薇Sylvie / alpaca咕噜,忘忧谣
39,走马,陈粒,十年自选
40,真相是真,黄星 / 邱鼎杰,真相是真
41,折断玫瑰,邱e,折断玫瑰
42,愛属性,ピノキオピー,愛属性
43,CANCELLED!,Taylor Swift,The Life of a Showgirl
44,江湖夜雨十年灯,空想之喵,江湖夜雨十年灯
45,Father Figure,Taylor Swift,The Life of a Showgirl
46,挂机（厌倦了吵架厌倦了迷人的谎话）,Lefty,挂机（厌倦了吵架厌倦了迷人的谎话）
47,没出息,邓晃晃 / 知鷗周,没出息
48,逆写时间,BlackwingFK,逆写时间
49,One night in 解放碑,王齐铭WatchMe,One night in 解放碑
50,交通工具,刘思鉴 / 河南说唱之神,交通工具
51,凭什么爱我,TINY7,凭什么爱我
52,Silhouette,李昊,Silhouette
53,Constriction（压迫感）,QDFLY,Constriction（压迫感）
54,五百,宝石Gem,通俗说唱
55,须尽欢 (思乡版),郑浩Z-Hao,须尽欢 (2025版)
56,清透,陈粒,贴近大地
57,登录,马思唯,乐透人生GT：即刻入戏
58,追月光,张云雷,追月光
59,到时说爱我,step.jad依加,到时说爱我
60,妙龄童,陈粒,十年自选
61,Open Eyes(PHONK),GTR7,Open Eyes
62,钻石车子票子,马思唯,乐透人生GT：即刻入戏
63,"Yes, but?",杨丞琳,"Yes, but?"
64,想你的夜,刘大拿,想你的夜
65,乖乖 (连不上我wifi),HuiuioOo / Crybird,乖乖 (连不上我wifi)
66,提瓦特民谣,宴宁 / XY大甘蔗 / 柳知萧 / 闫夜桥 / 陶典 / 孙晔,提瓦特民谣
67,马师,马思唯,乐透人生GT：即刻入戏
68,有且,杨丞琳,有且
69,Pastoral,Aimer,Pastoral
70,你不再需要,TC,你不再需要
71,花,海洋Bo / 黄绮珊,天地之间
72,最美的记号,永彬Ryan.B,最美的记号
73,恰逢雨季,LBI利比,恰逢雨季
74,耐寒体质,FEEEleven / 杨和苏KeyNG,耐寒体质
75,T0,马思唯,乐透人生GT：即刻入戏
76,ICEMAN (What Did I Miss ？)ED.Sped Up,SmokeBoi,ＩＣＥ ＭＡＮ
77,静夜思,Vvy王泽宇,静夜思
78,奇妙能力歌,陈粒,十年自选
79,秋叶缘,林家谦,秋叶缘
80,纽约夜,Rapeter / 热单间HEATROOM,HEATROOM TAPE 3rd
81,An Ode to Time,冻痛 / Yaecui^小冉,An Ode to Time
82,逐光筑昼,鸣潮先约电台 / YUE.STEVEN / Mars Atlas,烬夜启明
83,the simlish song,Lyn Lapid,the simlish song
84,King Style,马思唯 / 谢帝,乐透人生GT：即刻入戏
85,Blue Valentine,NMIXX,Blue Valentine
86,要不就算了吧,吴炳文,要不就算了吧
87,นับหนึ่ง (From now on),Billkin,นับหนึ่ง (From now on)
88,第二人称,杜宣达,第二人称
89,X,刘柏辛Lexie,TEENAGE RAMBLE
90,YWD,Top Barry,YWD
91,Overcook Freestyle,马思唯,Overcook Freestyle
92,思念在雨夜蔓延,Harmonic Thaw / Yaecui^小冉,思念在雨夜蔓延
93,VISIONS （『仮面ライダーゼッツ』主題歌）,NAQT VANE,VISIONS （『仮面ライダーゼッツ』主題歌）
94,Fruit Fly,窦靖童 / 黑裙子,Fruit Fly
95,他们从未离去,Rapeter / 热单间HEATROOM,HEATROOM TAPE 3rd
96,マシュマロ,DECO*27,マシュマロ
97,紧身衣,SASIOVERLXRD,超级孙先生
98,凉城 (弹唱版),小小张同学,凉城 (弹唱版)
99,妖精小姐的魔法邀约 Miss Elf's Magical Invitation,宴宁 / HOYO-MiX,崩坏3-故星铭于长空-Original Soundtrack
