排名,歌名,歌手,专辑
1,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
2,恋人,李荣浩,黑马
3,罗生门（Follow）,梨冻紧 / Wiz_H张子豪,罗生门（Follow）
4,Star Crossing Night (feat. GALI),徐明浩 / GALI,Star Crossing Night (feat. GALI)
5,如果呢,郑润泽,如果呢
6,把回忆拼好给你,王贰浪,把回忆拼好给你
7,到时说爱我,茜拉,心旅
8,打火机,Penny,打火机
9,爱错,王力宏,恋爱占星音乐全精选
10,离开我的依赖,王艳薇,离开我的依赖
11,于是,郑润泽,于是
12,唯一,G.E.M.邓紫棋,T.I.M.E.
13,两 难,加木,两 难
14,熄灭,TC,熄灭
15,还是会想你,林达浪 / h3R3,还是会想你
16,嗜好,颜人中,嗜好
17,爱情讯息,郭静,下一个天亮
18,一点点（为什么晚上总是有星星）,芊芊龍 / 董唧唧,一点点（为什么晚上总是有星星）
19,玫瑰窃贼,柳爽,Rose
20,浆果,TINY7,浆果
21,我怀念的,孙燕姿,逆光
22,爱情讯息,黄星 / 邱鼎杰,爱情讯息
23,如果爱忘了 (live),汪苏泷 / 单依纯,声生不息·家年华 第12期
24,寂寞寂寞不好,曹格,寂寞寂寞不好
25,零距离的思念,TINY7,Chose one me
26,我只能离开,颜人中,初恋那件小事 电视剧原声带
27,晚安,颜人中,晚安
28,特别的人,方大同,危险世界
29,吻你吻上太空,曾舜晞,吻你吻上太空
30,阳光下的星星,金海心,独立日
31,愿与愁,林俊杰,愿与愁
32,有些,颜人中,失眠症候群
33,红,罗言,When the world is came，take it！
34,我想念,汪苏泷,我想念
35,舍得,王唯旖,哈NI，非WO陌属
36,Always Online,林俊杰,JJ陆
37,你,郑润泽,你
38,坠落,蔡健雅,天使与魔鬼的对话
39,出现又离开 (Live),梁博,我是唱作人 第2期
40,小胡同,郑润泽,小胡同
41,MONTAGEM XONADA,MXZI / DJ Samir / DJ Javi26,MONTAGEM XONADA
42,夏夜最后的烟火,颜人中,夏夜最后的烟火
43,其实,薛之谦,意外
44,曾经是情侣 (Live),梁博,我是唱作人 第4期
45,多远都要在一起,G.E.M.邓紫棋,新的心跳
46,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl
47,指纹,杜宣达,指纹
48,千万次想象,张杰,千万次想象
49,予你,队长,予你
50,红色高跟鞋,蔡健雅,若你碰到他
51,忘不掉的你,h3R3,忘不掉的你
52,不将就,李荣浩,有理想
53,我记得,赵雷,署前街少年
54,小孩,罗森涛,为何离开
55,富士山下,陈奕迅,What's Going On…?
56,爱我还是他,陶喆,太平盛世
57,知我,国风堂 / 哦漏,知我
58,3977,ljz329,3977
59,想你的夜,关喆,永远的永远
60,孤独患者,陈奕迅,？
61,再等冬天(Memories),h3R3,故事商铺·上
62,如果可以,韦礼安,如果可以
63,我爱你但是我要回家,ET / Happer / 无面小生 / 口古口古,我爱你但是我要回家
64,你要的全拿走,胡彦斌,覅忒好
65,与我无关,阿冗,与我无关
66,绽放,郑润泽,梦游
67,麦恩莉,方大同,回到未来
68,可不可以,张紫豪,可不可以
69,孤身,徐秉龙,孤身
70,开始懂了,孙燕姿,我要的幸福
71,悬溺,葛东琪,第二街区
72,无名的人,毛不易,无名的人
73,Forget it （feat. Mac Ova Seas）,SETI / mac ova seas,nightfall EP
74,My love,颜人中,感情事故
75,有我呢,郭一凡,重返地球
76,唯一,告五人,运气来得若有似无
77,再次爱上你,金润吉,再次爱上你
78,亲爱的你啊,任素汐,亲爱的你啊
79,句号,G.E.M.邓紫棋,摩天动物园
80,Deadman,蔡徐坤,Deadman
81,四点的海棠花未眠,渡,四点的海棠花未眠
82,遐想,郑润泽,梦游
83,沉溺 (你让我的心不再结冰）,邹沛沛 / Pank,沉溺（你让我的心不再结冰）
84,素颜,许嵩 / 何曼婷,素颜
85,虚拟,陈粒,小梦大半
86,一程山路,毛不易,小王
87,苦茶子,Starling8 / MoreLearn 27 / FIVESTAR,埋汰
88,下一个天亮,郭静,下一个天亮
89,江南,林俊杰,第二天堂
90,想你时风起,单依纯,我的人间烟火 电视剧原声带
91,哪里都是你,队长,哪里都是你
92,不说 (原来是不说),周公,不说
93,在你的身边,盛哲,在你的身边
94,同花顺,林倛玉,12蓮花 原著電影原聲帶 (Original Motion Picture Soundtrack)
95,沦陷,JuggShots,沦陷
96,才二十三,方大同,梦想家 The Dreamer
97,病态的爱,Zkaaai / 哈利白特,1:20
98,诀别书,邓垚,诀别书
99,杏冷淡freestyle,柴行敏,杏冷淡freestyle
100,我们的歌,王力宏,改变自己
