排名,歌名,歌手,专辑
1,一小部分的我,尤长靖,一小部分的我
2,미확인 비행체 (UFO),ONEWE,MAZE : AD ASTRA
3,吻你吻上太空,曾舜晞,吻你吻上太空
4,走吧,一乐AJoyX / EvilJoker,厝
5,没出息,邓晃晃 / 知鷗周,没出息
6,Silhouette,李昊,Silhouette
7,一点点（为什么晚上总是有星星）,芊芊龍 / 董唧唧,一点点（为什么晚上总是有星星）
8,邓布利多,万乐体 / 鱼骨妹,邓布利多
9,表态 (Live),梁博,我是唱作人 第1期
10,主人,范晓萱,赤子
11,Talking Bodies,尹浩宇Patrick,Mint
12,管他什么音乐,范晓萱,赤子
13,"Yes, but?",杨丞琳,"Yes, but?"
14,岸边客,夏子航（2603）,岸边客
15,盐津-她遇见我-Yanjin-She Met Me,Sister Gertha Lemone,Trance Yanjin (illusion)
16,别怕我伤心+听见有人叫你宝贝+爱情少尉+爱如潮水 (Live),李宗盛,既然青春留不住，还是做个大叔好 演唱会巡回影音纪录
17,静夜思,Vvy王泽宇,静夜思
18,DAMIDAMI,Sihan / 三Z-STUDIO / HOYO-MiX,绝区零-DAMIDAMI
19,Changes,Charlie Puth,Changes
20,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
21,心的距离,陈奕迅,上五楼的快活
22,不后悔,宝石Gem / 张碧晨,通俗说唱
23,ISFP’s Sunset (Fading Light),樊宇镈,ISFP's Sunset
24,"Умри, если меня не любишь",DAKOOKA,DAKOOKA
25,MONTAGEM - FELL DOWN,Lucas Hits,MONTAGEM - FELL DOWN
26,Chills,Le Youth,Chills (Leena Punks Remix)
27,PIMMIE'S DILEMMA,Pimmie / PARTYNEXTDOOR / Drake,$ome $exy $ongs 4 U
28,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS
29,怀才不遇,卦者灵风,怀才不遇
30,空空,陈粒,贴近大地
31,加油！,林俊杰 / MC HotDog 热狗,他是…JJ林俊杰
32,看着我眼睛,吴琳珂Moske,看着我眼睛
33,我是人间惆怅客,空想之喵,我是人间惆怅客
34,III,Athletics,Who You Are Is Not Enough
35,再也没有 (Live),汪峰,歌手2018 第8期
36,乖乖 (连不上我wifi),HuiuioOo / Crybird,乖乖 (连不上我wifi)
37,间距,张亦泽,落空
38,山丘,李宗盛,山丘
39,我要找到你,易泽禹,我要找到你
40,我要我们在一起,范晓萱,我要我们在一起
41,Daydreaming,PICK,Daydreaming
42,intentions,Starfall,intentions
43,You Are My Sunshine,范晓萱,还有别的办法吗
44,花,海洋Bo / 黄绮珊,天地之间
45,颜色,Gareth.T,颜色
46,纤维,林忆莲,0 (2024版)
47,庐州月,许嵩,寻雾启示
48,像海一样平静,鱼尾Q7,像海一样平静
49,不温暖的歌,欧瑞SoulCore,不温暖的歌
50,那种女孩,范晓萱,突破
51,Luna(月神),Bethybai / 岸炘,电子归墟
